,sg_w5_d100,unweighted,sg_w10_tfidf_pos,tfidf_posfilt,w2v_sg_w10,w2v_psymed__sg_w10_d300__wt,tfidf,w2v_psymed__sg_w10_d300__unwt,w2v_sg_w10_d300,w2v_cbow_w5_d200,w2v_psymed__sg_w10_d300
fear,0.3233514973914625,0.3312248170280946,0.38380601406525316,0.40876155231428835,0.3448806602701685,0.35135626075225224,0.39421771298352115,0.36728589956793756,0.3768793499409725,0.3081080237945394,0.35135626075225224
loss,0.3703964335464202,0.26702380941885734,0.8403148458200722,0.780493991858675,0.40074302325031647,0.6006242283322124,0.7424867077165813,0.8105802751242119,0.42834319636955387,0.3741458916599444,0.6006242283322124
arousal,0.22611032503758938,0.3135970226151962,0.506522953322303,0.5375918646137594,0.30105870257019673,0.2888702440735852,0.5799106989511593,0.4234751790060067,0.3022128576896408,0.23277273523421624,0.2888702440735852
circadian,0.45446017589687,0.4399482269459987,0.40631100359942507,0.2841746925956838,0.5062961450152081,0.9599531608950446,0.2789546396873288,0.9921276819292645,0.522635382237367,0.46261398240160345,0.9599531608950446
frusnrew,0.0746779393089794,0.06158499708715199,0.07967277153674963,0.07701037553705574,0.07450481188307952,0.09373866418807067,0.071678714846661,0.12392656787290188,0.07496287972066322,0.07735834425928478,0.09373866418807067
anxiety,0.3545107343305062,0.3563312972333548,0.43472817110335016,0.34197538635206265,0.3734734019887848,0.2553647638909131,0.3160969948525838,0.30526421513796526,0.37552405321551446,0.37238123223659847,0.2553647638909131
sleep_wf,0.2906266942799124,0.36035988776758676,0.41562272055966326,0.5639374963590662,0.3000178093550251,0.23725901553826334,0.5202292702149723,0.2289907130575559,0.2830994912914124,0.26570152971328986,0.23725901553826334
susthreat,0.15692065038208472,0.23249089858515734,0.23483789220104076,0.2261105981025349,0.15032397102874925,0.22988075166310507,0.2137662310649256,0.2216890007029767,0.1632352479747002,0.1924614913377024,0.22988075166310507
MAP,0.2813818062717281,0.29532011958517473,0.41272704652598213,0.40250699471664075,0.30641231567019106,0.3771308861666809,0.38966762128971666,0.4341674415498526,0.31586155730497806,0.28569290382964735,0.3771308861666809
